日付	商品	カテゴリ	数量	単価	売上
2025-01-01	りんご	果物	13	147	
2025-01-01	みかん	果物	1	423	
2025-01-01	バナナ	果物	4	459	
2025-01-01	ぶどう	果物	10	311	
2025-01-01	メロン	果物	19	392	
2025-01-02	りんご	果物	7	188	
2025-01-02	みかん	果物	13	414	
2025-01-02	バナナ	果物	2	139	
2025-01-02	ぶどう	果物	15	188	
2025-01-02	メロン	果物	18	265	
2025-01-03	りんご	果物	14	172	
2025-01-03	みかん	果物	10	215	
2025-01-03	バナナ	果物	17	343	
2025-01-03	ぶどう	果物	6	435	
2025-01-03	メロン	果物	16	438	
2025-01-04	りんご	果物	4	277	
2025-01-04	みかん	果物	15	388	
2025-01-04	バナナ	果物	2	365	
2025-01-04	ぶどう	果物	1	131	
2025-01-04	メロン	果物	11	344	
2025-01-05	りんご	果物	4	470	
2025-01-05	みかん	果物	3	228	
2025-01-05	バナナ	果物	1	153	
2025-01-05	ぶどう	果物	6	138	
2025-01-05	メロン	果物	9	344	
2025-01-06	りんご	果物	18	435	
2025-01-06	みかん	果物	5	205	
2025-01-06	バナナ	果物	11	131	
2025-01-06	ぶどう	果物	2	421	
2025-01-06	メロン	果物	8	157	
2025-01-07	りんご	果物	4	458	
2025-01-07	みかん	果物	12	182	
2025-01-07	バナナ	果物	1	498	
2025-01-07	ぶどう	果物	4	153	
2025-01-07	メロン	果物	13	221	
2025-01-08	りんご	果物	11	184	
2025-01-08	みかん	果物	12	424	
2025-01-08	バナナ	果物	7	147	
2025-01-08	ぶどう	果物	4	456	
2025-01-08	メロン	果物	9	434	
2025-01-09	りんご	果物	16	248	
2025-01-09	みかん	果物	4	379	
2025-01-09	バナナ	果物	16	497	
2025-01-09	ぶどう	果物	17	405	
2025-01-09	メロン	果物	6	269	
2025-01-10	りんご	果物	4	195	
2025-01-10	みかん	果物	6	194	
2025-01-10	バナナ	果物	1	469	
2025-01-10	ぶどう	果物	19	392	
2025-01-10	メロン	果物	3	404	
2025-01-11	りんご	果物	4	198	
2025-01-11	みかん	果物	11	468	
2025-01-11	バナナ	果物	8	301	
2025-01-11	ぶどう	果物	1	494	
2025-01-11	メロン	果物	19	143	
2025-01-12	りんご	果物	3	477	
2025-01-12	みかん	果物	3	162	
2025-01-12	バナナ	果物	4	322	
2025-01-12	ぶどう	果物	4	182	
2025-01-12	メロン	果物	15	327	
2025-01-13	りんご	果物	18	150	
2025-01-13	みかん	果物	15	141	
2025-01-13	バナナ	果物	2	136	
2025-01-13	ぶどう	果物	11	186	
2025-01-13	メロン	果物	12	460	
2025-01-14	りんご	果物	12	358	
2025-01-14	みかん	果物	17	132	
2025-01-14	バナナ	果物	1	394	
2025-01-14	ぶどう	果物	15	142	
2025-01-14	メロン	果物	9	177	
2025-01-15	りんご	果物	3	103	
2025-01-15	みかん	果物	3	463	
2025-01-15	バナナ	果物	14	468	
2025-01-15	ぶどう	果物	9	428	
2025-01-15	メロン	果物	9	348	
2025-01-16	りんご	果物	4	417	
2025-01-16	みかん	果物	15	452	
2025-01-16	バナナ	果物	5	337	
2025-01-16	ぶどう	果物	12	186	
2025-01-16	メロン	果物	14	477	
2025-01-17	りんご	果物	14	431	
2025-01-17	みかん	果物	17	252	
2025-01-17	バナナ	果物	15	125	
2025-01-17	ぶどう	果物	17	477	
2025-01-17	メロン	果物	2	460	
2025-01-18	りんご	果物	1	328	
2025-01-18	みかん	果物	7	387	
2025-01-18	バナナ	果物	14	427	
2025-01-18	ぶどう	果物	16	141	
2025-01-18	メロン	果物	19	140	
2025-01-19	りんご	果物	16	367	
2025-01-19	みかん	果物	7	211	
2025-01-19	バナナ	果物	2	323	
2025-01-19	ぶどう	果物	13	316	
2025-01-19	メロン	果物	4	359	
2025-01-20	りんご	果物	11	304	
2025-01-20	みかん	果物	7	391	
2025-01-20	バナナ	果物	6	315	
2025-01-20	ぶどう	果物	12	132	
2025-01-20	メロン	果物	12	204	
2025-01-21	りんご	果物	11	282	
2025-01-21	みかん	果物	12	225	
2025-01-21	バナナ	果物	16	358	
2025-01-21	ぶどう	果物	15	248	
2025-01-21	メロン	果物	4	135	
2025-01-22	りんご	果物	8	493	
2025-01-22	みかん	果物	10	397	
2025-01-22	バナナ	果物	4	402	
2025-01-22	ぶどう	果物	19	464	
2025-01-22	メロン	果物	4	387	
2025-01-23	りんご	果物	10	494	
2025-01-23	みかん	果物	14	299	
2025-01-23	バナナ	果物	8	161	
2025-01-23	ぶどう	果物	2	144	
2025-01-23	メロン	果物	3	188	
2025-01-24	りんご	果物	2	233	
2025-01-24	みかん	果物	9	355	
2025-01-24	バナナ	果物	5	356	
2025-01-24	ぶどう	果物	12	390	
2025-01-24	メロン	果物	6	482	
2025-01-25	りんご	果物	17	236	
2025-01-25	みかん	果物	2	309	
2025-01-25	バナナ	果物	17	391	
2025-01-25	ぶどう	果物	9	472	
2025-01-25	メロン	果物	5	276	
2025-01-26	りんご	果物	4	459	
2025-01-26	みかん	果物	4	214	
2025-01-26	バナナ	果物	18	389	
2025-01-26	ぶどう	果物	19	373	
2025-01-26	メロン	果物	3	169	
2025-01-27	りんご	果物	6	496	
2025-01-27	みかん	果物	13	473	
2025-01-27	バナナ	果物	3	211	
2025-01-27	ぶどう	果物	8	139	
2025-01-27	メロン	果物	12	250	
2025-01-28	りんご	果物	18	298	
2025-01-28	みかん	果物	8	374	
2025-01-28	バナナ	果物	12	183	
2025-01-28	ぶどう	果物	18	397	
2025-01-28	メロン	果物	15	301	
2025-01-29	りんご	果物	19	429	
2025-01-29	みかん	果物	12	309	
2025-01-29	バナナ	果物	10	484	
2025-01-29	ぶどう	果物	17	206	
2025-01-29	メロン	果物	5	194	
2025-01-30	りんご	果物	4	407	
2025-01-30	みかん	果物	9	447	
2025-01-30	バナナ	果物	15	187	
2025-01-30	ぶどう	果物	1	247	
2025-01-30	メロン	果物	9	187	
